Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_60	1.50216e-06	4.58235e-14	49.2427	3.27814e+07
NODE_61	1.12508e-06	3.43303e-14	36.8717	3.27724e+07
NODE_62	2.60704e-05	8.08363e-13	840.794	3.22509e+07
NODE_63	1.86392e-06	5.68834e-14	61.0757	3.27674e+07
NODE_64	7.94369e-05	2.51071e-12	2513.32	3.16392e+07
NODE_65	4.71314e-05	1.46899e-12	1512.18	3.20843e+07
NODE_66	1.11799e-06	3.41126e-14	36.6407	3.27736e+07
NODE_67	8.56883e-05	2.70823e-12	2711.18	3.164e+07
NODE_68	3.31364e-05	1.03069e-12	1065.32	3.21496e+07
NODE_69	1.60987e-06	4.91169e-14	52.7656	3.27763e+07
NODE_70	1.21587e-06	3.70882e-14	39.8601	3.27832e+07
NODE_71	1.04482e-06	3.18788e-14	34.2435	3.27747e+07
NODE_72	3.58887e-05	1.11201e-12	1158.26	3.22736e+07
NODE_73	1.63311e-05	5.03154e-13	530.066	3.24575e+07
NODE_74	1.31634e-05	4.05721e-13	427.081	3.24446e+07
NODE_75	1.08637e-05	3.32789e-13	354.637	3.26443e+07
NODE_76	1.98738e-05	6.12128e-13	645.238	3.24667e+07
NODE_77	2.75331e-05	8.50693e-13	891.122	3.23655e+07
NODE_78	1.50587e-06	4.59374e-14	49.3636	3.27808e+07
NODE_79	1.36173e-05	4.20616e-13	440.853	3.23746e+07
NODE_80	1.26796e-06	3.86804e-14	41.5643	3.27804e+07
NODE_81	1.64082e-06	5.00485e-14	53.7934	3.27845e+07
NODE_82	1.44596e-05	4.45965e-13	468.825	3.24231e+07
NODE_83	4.30981e-05	1.3396e-12	1386.57	3.21724e+07
NODE_84	1.87653e-05	5.7735e-13	609.92	3.25025e+07
NODE_85	2.19495e-05	6.7847e-13	710.097	3.23514e+07
NODE_86	1.29871e-06	3.96247e-14	42.5653	3.27752e+07
NODE_87	1.24992e-06	3.81295e-14	40.9734	3.27809e+07
NODE_88	4.1542e-07	1.267e-14	13.6206	3.27876e+07
NODE_89	1.1479e-06	3.50205e-14	37.6256	3.27779e+07
NODE_90	8.28384e-07	2.52707e-14	27.1547	3.27804e+07
NODE_91	1.2401e-05	3.82728e-13	401.814	3.24017e+07
NODE_92	2.39217e-05	7.45183e-13	767.928	3.21018e+07
NODE_93	1.95023e-05	6.00289e-13	633.594	3.24882e+07
