Parameter	Posterior Mean	Posterior Variance	a_post	b_post
As_754-2.whole.wo.indels.fasta.chr-1	4.30915e-06	6.2063e-13	29.9192	6.94318e+06
As_774-1.whole.wo.indels.fasta.chr-1	2.8402e-06	4.09143e-13	19.7162	6.94184e+06
As_CONR4D.whole.wo.indels.fasta.chr-1	3.68435e-06	5.3046e-13	25.5899	6.94557e+06
As_CONRI4.whole.wo.indels.fasta.chr-1	3.87656e-06	5.58315e-13	26.9161	6.94331e+06
As_OONR2J.whole.wo.indels.fasta.chr-1	4.40585e-06	6.34835e-13	30.5773	6.94016e+06
As_T2R3B.whole.wo.indels.fasta.chr-1	5.09079e-06	7.35047e-13	35.2578	6.9258e+06
NODE_49	2.81019e-05	4.12812e-12	191.302	6.80744e+06
NODE_50	3.76558e-05	5.54233e-12	255.842	6.79422e+06
NODE_51	3.57636e-05	5.26859e-12	242.766	6.78807e+06
NODE_52	7.92882e-07	1.14123e-13	5.50866	6.94764e+06
NODE_53	7.01269e-07	1.00935e-13	4.87221	6.94771e+06
NODE_54	9.81073e-07	1.41182e-13	6.81746	6.94898e+06
NODE_55	2.83532e-07	4.08034e-14	1.97019	6.94873e+06
NODE_56	1.11227e-06	1.60071e-13	7.72878	6.94864e+06
NODE_57	2.83801e-06	4.08527e-13	19.7154	6.94692e+06
NODE_58	1.28579e-05	1.89508e-12	87.2397	6.7849e+06
NODE_59	4.24681e-05	6.24269e-12	288.904	6.80285e+06
NODE_60	1.7889e-05	2.60847e-12	122.683	6.85803e+06
NODE_61	2.79137e-05	4.07617e-12	191.154	6.84803e+06
NODE_62	3.53057e-05	5.12907e-12	243.025	6.88345e+06
NODE_63	1.45435e-05	2.10861e-12	100.309	6.89719e+06
NODE_64	8.95854e-07	1.28971e-13	6.22275	6.94616e+06
NODE_65	4.18827e-05	6.2015e-12	282.861	6.75364e+06
NODE_66	1.46809e-06	2.11281e-13	10.201	6.94852e+06
NODE_67	8.57853e-06	1.23581e-12	59.5489	6.94162e+06
NODE_68	5.13531e-06	7.47355e-13	35.2863	6.87131e+06
NODE_69	3.21004e-05	4.68871e-12	219.77	6.84633e+06
NODE_70	1.92334e-06	2.76835e-13	13.3625	6.94758e+06
NODE_71	5.47317e-06	7.87698e-13	38.0293	6.94831e+06
NODE_72	6.31862e-05	9.29136e-12	429.699	6.80053e+06
NODE_73	2.26879e-05	3.31937e-12	155.072	6.835e+06
NODE_74	1.50712e-05	2.19334e-12	103.56	6.87137e+06
NODE_75	1.27944e-06	1.84273e-13	8.88335	6.94317e+06
NODE_76	4.29241e-05	6.24343e-12	295.106	6.87508e+06
NODE_77	1.81358e-05	2.62757e-12	125.175	6.90209e+06
NODE_78	9.28888e-06	1.34129e-12	64.3284	6.92531e+06
NODE_79	2.07773e-05	3.04841e-12	141.614	6.81579e+06
NODE_80	2.39935e-06	3.45444e-13	16.6652	6.94571e+06
NODE_81	6.47097e-05	9.5356e-12	439.128	6.78612e+06
NODE_82	3.36309e-05	4.87926e-12	231.805	6.89262e+06
NODE_83	4.17913e-05	6.16749e-12	283.18	6.77606e+06
NODE_84	8.68142e-07	1.24964e-13	6.03111	6.94714e+06
NODE_85	1.11877e-06	1.60985e-13	7.77489	6.94951e+06
NODE_86	2.15227e-06	3.09766e-13	14.9541	6.94805e+06
NODE_87	1.43284e-06	2.06222e-13	9.95538	6.94803e+06
NODE_88	1.15415e-05	1.67309e-12	79.6177	6.89836e+06
NODE_89	2.14015e-05	3.11419e-12	147.076	6.87224e+06
NODE_90	1.82474e-05	2.64718e-12	125.781	6.89312e+06
NODE_91	1.68817e-06	2.43044e-13	11.7259	6.94593e+06
NODE_92	1.4476e-06	2.08325e-13	10.0591	6.94879e+06
NODE_93	1.25839e-06	1.81088e-13	8.74457	6.94903e+06
